rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,53,1,2022-11-07,Connecticut,,Stonehill,REG (Non-Conf),W 85-54,*,19,8,11,0.727,0,0,,8,11,0.727,0.727,3,4,0.75,2,4,6,1,1,1,2,3,19,15.9,H,1,1,adama-sanogo-1,Adama Sanogo,2023
2,54,2,2022-11-11,Connecticut,,Boston University,REG (Non-Conf),W 86-57,*,28,12,15,0.8,2,3,0.667,10,12,0.833,0.867,1,2,0.5,4,11,15,2,1,1,3,2,27,26.3,H,1,1,adama-sanogo-1,Adama Sanogo,2023
3,55,3,2022-11-15,Connecticut,,Buffalo,REG (Non-Conf),W 84-64,*,22,4,11,0.364,1,1,1.0,3,10,0.3,0.409,2,2,1.0,1,5,6,0,2,0,2,3,11,5.9,H,1,1,adama-sanogo-1,Adama Sanogo,2023
4,56,4,2022-11-18,Connecticut,,UNC Wilmington,REG (Non-Conf),W 86-50,*,27,8,12,0.667,0,2,0.0,8,10,0.8,0.667,8,8,1.0,0,5,5,1,0,0,0,1,24,20.6,H,1,1,adama-sanogo-1,Adama Sanogo,2023
5,57,5,2022-11-20,Connecticut,,Delaware State,REG (Non-Conf),W 95-60,*,23,10,13,0.769,1,1,1.0,9,12,0.75,0.808,5,6,0.833,2,6,8,0,2,1,0,4,26,24.8,H,1,1,adama-sanogo-1,Adama Sanogo,2023
6,58,6,2022-11-24,Connecticut,N,Oregon,REG (Non-Conf),W 83-59,*,23,5,7,0.714,2,2,1.0,3,5,0.6,0.857,0,0,,2,4,6,1,1,1,2,4,12,10.5,N,1,1,adama-sanogo-1,Adama Sanogo,2023
7,59,7,2022-11-25,Connecticut,N,Alabama,REG (Non-Conf),W 82-67,*,28,9,16,0.563,1,4,0.25,8,12,0.667,0.594,6,8,0.75,1,3,4,2,0,2,3,3,25,16.8,N,1,1,adama-sanogo-1,Adama Sanogo,2023
8,60,8,2022-11-27,Connecticut,N,Iowa State,REG (Non-Conf),W 71-53,*,22,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,2,1.0,3,3,6,3,1,0,0,4,4,5.4,N,1,1,adama-sanogo-1,Adama Sanogo,2023
9,61,9,2022-12-01,Connecticut,,Oklahoma State,REG (Non-Conf),W 74-64,*,33,7,14,0.5,0,2,0.0,7,12,0.583,0.5,6,8,0.75,3,3,6,0,2,1,2,1,20,15.5,H,1,1,adama-sanogo-1,Adama Sanogo,2023
10,62,10,2022-12-07,Connecticut,@,Florida,REG (Non-Conf),W 75-54,*,20,8,13,0.615,0,1,0.0,8,12,0.667,0.615,1,2,0.5,3,4,7,1,1,1,3,4,17,11.8,A,1,1,adama-sanogo-1,Adama Sanogo,2023
11,63,11,2022-12-10,Connecticut,,LIU,REG (Non-Conf),W 114-61,*,21,8,12,0.667,0,2,0.0,8,10,0.8,0.667,0,0,,0,4,4,2,1,1,2,0,16,13.1,H,1,1,adama-sanogo-1,Adama Sanogo,2023
12,64,12,2022-12-17,Connecticut,@,Butler,REG (Conf),W 68-46,*,31,13,21,0.619,1,1,1.0,12,20,0.6,0.643,0,1,0.0,7,7,14,3,1,0,2,3,27,24.0,A,1,1,adama-sanogo-1,Adama Sanogo,2023
13,65,13,2022-12-20,Connecticut,,Georgetown,REG (Conf),W 84-73,*,31,6,10,0.6,1,1,1.0,5,9,0.556,0.65,1,2,0.5,3,4,7,1,2,0,2,3,14,11.8,H,1,1,adama-sanogo-1,Adama Sanogo,2023
14,66,14,2022-12-28,Connecticut,,Villanova,REG (Conf),W 74-66,*,25,3,6,0.5,0,1,0.0,3,5,0.6,0.5,1,2,0.5,0,1,1,1,1,0,3,4,7,1.0,H,1,1,adama-sanogo-1,Adama Sanogo,2023
15,67,15,2022-12-31,Connecticut,@,Xavier,REG (Conf),L 73-83,*,33,9,17,0.529,0,1,0.0,9,16,0.563,0.529,0,0,,2,4,6,1,0,0,2,2,18,10.2,A,0,1,adama-sanogo-1,Adama Sanogo,2023
16,68,16,2023-01-04,Connecticut,@,Providence,REG (Conf),L 61-73,*,27,5,9,0.556,0,0,,5,9,0.556,0.556,1,2,0.5,3,4,7,1,1,1,1,2,11,10.2,A,0,1,adama-sanogo-1,Adama Sanogo,2023
17,69,17,2023-01-07,Connecticut,,Creighton,REG (Conf),W 69-60,*,32,10,20,0.5,2,5,0.4,8,15,0.533,0.55,4,6,0.667,0,9,9,1,0,1,1,3,26,17.1,H,1,1,adama-sanogo-1,Adama Sanogo,2023
18,70,18,2023-01-11,Connecticut,@,Marquette,REG (Conf),L 76-82,*,19,5,7,0.714,0,0,,5,7,0.714,0.714,0,1,0.0,3,0,3,0,0,2,5,1,10,4.8,A,0,1,adama-sanogo-1,Adama Sanogo,2023
19,71,19,2023-01-15,Connecticut,,St. John's (NY),REG (Conf),L 74-85,*,30,6,9,0.667,0,1,0.0,6,8,0.75,0.667,2,2,1.0,2,8,10,3,1,0,2,4,14,13.4,H,0,1,adama-sanogo-1,Adama Sanogo,2023
20,72,20,2023-01-18,Connecticut,@,Seton Hall,REG (Conf),L 66-67,*,28,6,14,0.429,0,0,,6,14,0.429,0.429,4,4,1.0,1,4,5,0,0,0,3,5,16,5.5,A,0,1,adama-sanogo-1,Adama Sanogo,2023
21,73,21,2023-01-22,Connecticut,,Butler,REG (Conf),W 86-56,*,23,6,12,0.5,0,1,0.0,6,11,0.545,0.5,5,6,0.833,7,7,14,3,0,2,1,2,17,19.3,H,1,1,adama-sanogo-1,Adama Sanogo,2023
22,74,22,2023-01-25,Connecticut,,Xavier,REG (Conf),L 79-82,*,33,4,7,0.571,1,1,1.0,3,6,0.5,0.643,2,2,1.0,5,4,9,4,2,0,1,2,11,15.4,H,0,1,adama-sanogo-1,Adama Sanogo,2023
23,75,23,2023-01-31,Connecticut,@,DePaul,REG (Conf),W 90-76,*,26,10,13,0.769,0,0,,10,13,0.769,0.769,5,6,0.833,1,8,9,0,0,1,0,5,25,21.3,A,1,1,adama-sanogo-1,Adama Sanogo,2023
24,76,24,2023-02-04,Connecticut,@,Georgetown,REG (Conf),W 68-62,*,29,6,11,0.545,1,1,1.0,5,10,0.5,0.591,2,3,0.667,4,2,6,0,1,0,0,2,15,12.9,A,1,1,adama-sanogo-1,Adama Sanogo,2023
25,77,25,2023-02-07,Connecticut,,Marquette,REG (Conf),W 87-72,*,30,8,14,0.571,0,1,0.0,8,13,0.615,0.571,2,4,0.5,3,4,7,3,1,0,2,4,18,13.4,H,1,1,adama-sanogo-1,Adama Sanogo,2023
26,78,26,2023-02-11,Connecticut,@,Creighton,REG (Conf),L 53-56,*,33,7,17,0.412,3,7,0.429,4,10,0.4,0.5,0,0,,3,7,10,2,1,0,1,2,17,12.7,A,0,1,adama-sanogo-1,Adama Sanogo,2023
27,79,27,2023-02-18,Connecticut,,Seton Hall,REG (Conf),W 64-55,*,24,3,5,0.6,0,1,0.0,3,4,0.75,0.6,2,2,1.0,0,6,6,0,0,2,3,4,8,4.3,H,1,1,adama-sanogo-1,Adama Sanogo,2023
28,80,28,2023-02-22,Connecticut,,Providence,REG (Conf),W 87-69,*,28,7,9,0.778,0,1,0.0,7,8,0.875,0.778,2,2,1.0,4,1,5,2,1,3,3,3,16,15.9,H,1,1,adama-sanogo-1,Adama Sanogo,2023
29,81,29,2023-02-25,Connecticut,@,St. John's (NY),REG (Conf),W 95-86,*,26,5,9,0.556,0,1,0.0,5,8,0.625,0.556,8,10,0.8,3,6,9,1,0,1,2,3,18,15.0,A,1,1,adama-sanogo-1,Adama Sanogo,2023
30,82,30,2023-03-01,Connecticut,,DePaul,REG (Conf),W 88-59,*,23,11,14,0.786,1,2,0.5,10,12,0.833,0.821,3,3,1.0,2,3,5,0,2,1,1,3,26,23.4,H,1,1,adama-sanogo-1,Adama Sanogo,2023
31,83,31,2023-03-04,Connecticut,@,Villanova,REG (Conf),W 71-59,*,26,4,12,0.333,0,2,0.0,4,10,0.4,0.333,1,1,1.0,2,7,9,0,1,0,3,4,9,2.1,A,1,1,adama-sanogo-1,Adama Sanogo,2023
32,84,32,2023-03-09,Connecticut,N,Providence,CTOURN,W 73-66,*,27,5,5,1.0,0,0,,5,5,1.0,1.0,0,0,,1,4,5,2,0,1,5,3,10,6.3,N,1,0,adama-sanogo-1,Adama Sanogo,2023
33,85,33,2023-03-10,Connecticut,N,Marquette,CTOURN,L 68-70,*,30,8,12,0.667,0,1,0.0,8,11,0.727,0.667,3,4,0.75,5,6,11,1,0,0,2,2,19,16.6,N,0,0,adama-sanogo-1,Adama Sanogo,2023
34,86,34,2023-03-17,Connecticut,N,Iona,ROUND-64,W 87-63,*,25,13,17,0.765,0,0,,13,17,0.765,0.765,2,3,0.667,6,7,13,0,0,1,2,0,28,25.9,N,1,0,adama-sanogo-1,Adama Sanogo,2023
35,87,35,2023-03-19,Connecticut,N,St. Mary's (CA),ROUND-32,W 70-55,*,27,11,16,0.688,0,0,,11,16,0.688,0.688,2,2,1.0,2,6,8,0,0,1,2,2,24,18.3,N,1,0,adama-sanogo-1,Adama Sanogo,2023
36,88,36,2023-03-23,Connecticut,N,Arkansas,ROUND-16,W 88-65,*,24,9,11,0.818,0,0,,9,11,0.818,0.818,0,2,0.0,2,6,8,1,0,2,3,2,18,14.6,N,1,0,adama-sanogo-1,Adama Sanogo,2023
37,89,37,2023-03-25,Connecticut,N,Gonzaga,ROUND-8,W 82-54,*,26,3,11,0.273,0,1,0.0,3,10,0.3,0.273,4,4,1.0,1,9,10,4,0,1,1,2,10,8.6,N,1,0,adama-sanogo-1,Adama Sanogo,2023
38,90,38,2023-04-01,Connecticut,N,Miami (FL),NATIONAL-SEMI,W 72-59,*,26,9,11,0.818,2,3,0.667,7,8,0.875,0.909,1,4,0.25,4,6,10,1,0,2,3,1,21,19.0,N,1,0,adama-sanogo-1,Adama Sanogo,2023
39,91,39,2023-04-03,Connecticut,N,San Diego State,NATIONAL-FINAL,W 76-59,*,30,5,9,0.556,0,0,,5,9,0.556,0.556,7,8,0.875,5,5,10,1,0,1,0,2,17,17.9,N,1,0,adama-sanogo-1,Adama Sanogo,2023
